trimestre,nomeBandeira,nomeFuncao,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos
20251,American Express,Crédito,Puro,302476,228566
20252,Elo,Crédito,Híbrido,35888,6230
20252,VISA,Crédito,Co-branded,14029061,3916647
20252,Elo,Crédito,Co-branded,835820,89817
20251,MasterCard,Crédito,Puro,2769865,851127
20252,MasterCard,Débito,Co-branded,230527,61686
20252,MasterCard,Débito,Puro,33143876,10298931
20252,MasterCard,Crédito,Puro,87755271,18043003
20252,MasterCard,Crédito,Puro,2809554,733821
20251,MasterCard,Débito,Co-branded,1273279,64985
20251,Elo,Pré-Pago,Puro,680291,566568
20252,Elo,Crédito,Puro,152885,135525
20252,Elo,Crédito,Puro,4686053,2847694
20251,VISA,Crédito,Híbrido,22089,8501
20252,Elo,Pré-Pago,Puro,2856342,1974328
20251,VISA,Crédito,Puro,3958674,2202820
20252,MasterCard,Pré-Pago,Puro,10972389,4562844
20251,MasterCard,Pré-Pago,Puro,696047,252832
20251,MasterCard,Crédito,Co-branded,11875908,173415
20251,MasterCard,Pré-Pago,Puro,10695024,4582453
20251,MasterCard,Crédito,Puro,23284907,15779927
20252,Elo,Crédito,Puro,161150,44721
20252,VISA,Crédito,Híbrido,714480,404618
20251,VISA,Pré-Pago,Puro,21221,1913
20252,VISA,Pré-Pago,Puro,1490,1386
20251,VISA,Pré-Pago,Co-branded,44230,508
20252,Elo,Pré-Pago,Puro,77154,67
20251,MasterCard,Pré-Pago,Puro,4518025,1013899
20251,MasterCard,Crédito,Puro,6184338,1838284
20251,MasterCard,Crédito,Co-branded,17,5
20252,VISA,Crédito,Puro,10609628,6408720
20252,VISA,Crédito,Co-branded,24751440,22882395
20251,MasterCard,Crédito,Puro,9123292,3733708
20251,VISA,Crédito,Puro,35766395,14076338
20251,MasterCard,Crédito,Puro,86361502,18502481
20251,VISA,Débito,Híbrido,84283,80669
20251,Elo,Pré-Pago,Puro,2663039,2012922
20251,Elo,Crédito,Puro,249946,207390
20251,Bandeira própria,Crédito,Puro,150141,31512
20252,VISA,Crédito,Híbrido,1432754,761996
20251,American Express,Crédito,Puro,494942,399474
20251,Elo,Débito,Híbrido,123435,123218
20252,VISA,Débito,Puro,10457430,4818567
20252,VISA,Crédito,Puro,684561,359898
20252,Elo,Débito,Puro,177973309,25483159
20252,MasterCard,Crédito,Híbrido,25294943,7659372
20251,VISA,Débito,Puro,14854954,7463320
20252,MasterCard,Crédito,Híbrido,74555,57151
20252,MasterCard,Crédito,Híbrido,7677079,2554230
20251,VISA,Crédito,Co-branded,21898838,19697831
20252,Elo,Pré-Pago,Puro,19866822,42570
20252,MasterCard,Pré-Pago,Puro,4082956,1066693
20252,VISA,Pré-Pago,Puro,17322,603
20252,MasterCard,Crédito,Puro,9214800,3838325
20252,Elo,Pré-Pago,Puro,527221,12079
20251,MasterCard,Débito,Puro,77919727,42558300
20252,MasterCard,Crédito,Co-branded,60231871,30909721
20251,VISA,Débito,Puro,3103077,1088826
20252,MasterCard,Pré-Pago,Puro,67838337,30735802
20252,MasterCard,Débito,Puro,380468,262891
20252,VISA,Crédito,Puro,24136126,13162235
20252,Elo,Crédito,Puro,390323,290244
20252,MasterCard,Crédito,Puro,1044341,688036
20251,MasterCard,Crédito,Híbrido,596107,397735
20251,VISA,Crédito,Co-branded,416679,363647
20251,Elo,Crédito,Co-branded,838051,102453
20251,MasterCard,Crédito,Híbrido,23875909,7521184
20252,Hipercard,Crédito,Puro,395,15
20251,VISA,Crédito,Co-branded,425431,389941
20251,Hipercard,Crédito,Puro,396,15
20252,MasterCard,Pré-Pago,Puro,4783790,1040509
20252,Bandeira própria,Pré-Pago,Puro,2109982,1815526
20252,MasterCard,Crédito,Híbrido,645727,423546
20252,VISA,Débito,Puro,7139921,3162530
20252,Elo,Débito,Híbrido,206312,129560
