trimestre,nomeBandeira,nomeFuncao,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos
20243,MasterCard,Crédito,Co-branded,519469,405473
20251,American Express,Crédito,Puro,302476,228566
20242,Elo,Crédito,Puro,3137258,1933287
20242,Elo,Crédito,Puro,28306,11255
20242,MasterCard,Crédito,Puro,78318128,18256730
20252,Elo,Crédito,Co-branded,835820,89817
20251,MasterCard,Crédito,Puro,2769865,851127
20242,MasterCard,Crédito,Co-branded,470241,369048
20244,MasterCard,Débito,Co-branded,125335,13711
20252,MasterCard,Débito,Puro,33143876,10298931
20244,VISA,Crédito,Puro,10206758,7378427
20243,MasterCard,Pré-Pago,Puro,605127,233934
20242,MasterCard,Pré-Pago,Puro,3894245,888244
20242,MasterCard,Pré-Pago,Puro,503101,196710
20242,MasterCard,Crédito,Puro,90425923,45804351
20251,Elo,Pré-Pago,Puro,680291,566568
20242,Bandeira própria,Crédito,Puro,145807,30023
20252,Elo,Crédito,Puro,152885,135525
20243,MasterCard,Crédito,Puro,7830628,3369019
20242,VISA,Pré-Pago,Puro,1806225,172735
20252,Elo,Crédito,Puro,4686053,2847694
20244,MasterCard,Crédito,Híbrido,44416,21702
20243,VISA,Crédito,Co-branded,381012,343686
20243,MasterCard,Crédito,Híbrido,5829416,2108953
20244,MasterCard,Débito,Co-branded,298239,29249
20251,MasterCard,Pré-Pago,Puro,696047,252832
20244,Elo,Crédito,Puro,25910,13879
20242,VISA,Crédito,Híbrido,9056047,3575179
20251,MasterCard,Crédito,Co-branded,11875908,173415
20251,MasterCard,Pré-Pago,Puro,10695024,4582453
20242,Elo,Pré-Pago,Puro,414109,339963
20252,Elo,Crédito,Puro,161150,44721
20244,VISA,Pré-Pago,Puro,121,3
20242,VISA,Crédito,Híbrido,1310589,732524
20251,VISA,Pré-Pago,Puro,21221,1913
20252,VISA,Pré-Pago,Puro,1490,1386
20242,VISA,Pré-Pago,Puro,26522392,7666489
20244,MasterCard,Débito,Co-branded,30,1
20244,Elo,Débito,Puro,176601222,27553076
20251,MasterCard,Pré-Pago,Puro,4518025,1013899
20243,MasterCard,Crédito,Híbrido,4765811,4194224
20251,MasterCard,Crédito,Co-branded,17,5
20252,VISA,Crédito,Puro,10609628,6408720
20243,Bandeira própria,Crédito,Co-branded,9538504,1576844
20252,VISA,Crédito,Co-branded,24751440,22882395
20251,MasterCard,Crédito,Puro,9123292,3733708
20244,American Express,Crédito,Co-branded,36591,29642
20244,Elo,Pré-Pago,Puro,587777,501881
20251,VISA,Crédito,Puro,35766395,14076338
20242,MasterCard,Débito,Co-branded,30,5
20251,MasterCard,Crédito,Puro,86361502,18502481
20251,VISA,Débito,Híbrido,84283,80669
20244,Elo,Crédito,Co-branded,841005,122503
20251,Elo,Crédito,Puro,249946,207390
20244,VISA,Débito,Puro,14212736,7295607
20243,MasterCard,Crédito,Híbrido,526584,358497
20252,VISA,Crédito,Híbrido,1432754,761996
20242,VISA,Crédito,Puro,9534700,7168478
20251,Elo,Débito,Híbrido,123435,123218
20243,Bandeira própria,Crédito,Puro,22027,9333
20252,VISA,Débito,Puro,10457430,4818567
20244,MasterCard,Crédito,Co-branded,5509384,1384533
20242,Elo,Pré-Pago,Puro,17903154,145491
20252,Elo,Débito,Puro,177973309,25483159
20252,MasterCard,Crédito,Híbrido,25294943,7659372
20244,Elo,Pré-Pago,Puro,19181313,139024
20244,VISA,Crédito,Híbrido,1356191,743305
20244,American Express,Crédito,Puro,181,104
20242,Elo,Crédito,Puro,3843060,2250936
20244,American Express,Pré-Pago,Puro,4,2
20242,Elo,Pré-Pago,Puro,6770,0
20244,VISA,Débito,Puro,2793642,866397
20243,MasterCard,Crédito,Híbrido,42940,21665
20242,Elo,Crédito,Puro,525980,341125
20252,MasterCard,Pré-Pago,Puro,4082956,1066693
20252,VISA,Pré-Pago,Puro,17322,603
